"","p1_depth","p2_depth","result","time","0","1","2","3","4","5","6","7","8","9"
1095,9,2,"draw",4.42498574199999,"         ","        x","    o   x","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox"," xoooxxox","xxoooxxox"
1096,9,2,"draw",4.382772467999985,"         ","   x     ","   xo    ","x  xo    ","x  xo o  ","x xxo o  ","xoxxo o  ","xoxxo ox ","xoxxooox ","xoxxoooxx"
1097,9,2,"draw",4.417080339999984,"         ","       x ","    o  x ","  x o  x ","  x o ox ","x x o ox ","xox o ox ","xoxxo ox ","xoxxo oxo","xoxxoxoxo"
1098,9,2,"draw",4.330855601999929,"         ","        x","    o   x","    o x x","    o xox"," x  o xox","ox  o xox","ox  oxxox","oxo oxxox","oxoxoxxox"
1099,9,2,"draw",4.327348105999818,"         ","x        ","x   o    ","x   o  x ","x   o ox ","x x o ox ","xox o ox ","xoxxo ox ","xoxxo oxo","xoxxoxoxo"
1100,9,2,"draw",4.356898268000123,"         "," x       "," x  o    ","xx  o    ","xxo o    ","xxo o x  ","xxooo x  ","xxoooxx  ","xxoooxx o","xxoooxxxo"
1101,9,2,"draw",4.579907336000133,"         ","   x     ","   xo    "," x xo    ","ox xo    ","ox xo   x","ox xo o x","oxxxo o x","oxxxooo x","oxxxoooxx"
1102,9,2,"draw",4.329258251000056,"         ","      x  ","    o x  ","x   o x  ","x  oo x  ","x  ooxx  ","x  ooxx o","x xooxx o","xoxooxx o","xoxooxxxo"
1103,9,2,"x",4.288692659999924,"         ","        x","    o   x"," x  o   x"," x  o o x"," xx o o x"," xxoo o x"," xxooxo x","",""
1104,9,2,"x",4.293753884999887,"         ","x        ","x   o    ","x   o   x","x   o o x","x x o o x","x x ooo x","xxx ooo x","",""
1105,9,2,"draw",4.276565418000018,"         ","     x   ","    ox   ","    oxx  ","    oxx o","x   oxx o","x  ooxx o","x xooxx o","xoxooxx o","xoxooxxxo"
1106,9,2,"draw",4.323869521999995,"         ","    x    ","    x   o","    xx  o","   oxx  o"," x oxx  o"," x oxx oo"," x oxxxoo"," xooxxxoo","xxooxxxoo"
1107,9,2,"draw",4.295622721999962,"         ","   x     ","   xo    ","x  xo    ","x  xo o  ","x xxo o  ","xoxxo o  ","xoxxo ox ","xoxxooox ","xoxxoooxx"
1108,9,2,"draw",4.349555542999951,"         ","   x     ","   xo    "," x xo    "," xoxo    "," xoxo x  ","oxoxo x  ","oxoxo x x","oxoxo xox","oxoxoxxox"
1109,9,2,"draw",4.46425557900011,"         ","  x      ","  x o    ","  x ox   ","  x ox  o","x x ox  o","xox ox  o","xox ox xo","xox oxoxo","xoxxoxoxo"
1110,9,3,"draw",4.363992757000005,"         "," x       "," x  o    ","xx  o    ","xxo o    ","xxo o x  ","xxooo x  ","xxoooxx  ","xxoooxxo ","xxoooxxox"
1111,9,3,"draw",4.306942731000163,"         ","        x","    o   x","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox","oxo oxxox","oxoxoxxox"
1112,9,3,"draw",4.326370187999828,"         "," x       "," x  o    "," xx o    ","oxx o    ","oxx o   x","oxx oo  x","oxxxoo  x","oxxxoo ox","oxxxooxox"
1113,9,3,"draw",4.4833640190001915,"         ","   x     ","   xo    ","   xo x  ","o  xo x  ","o  xo x x","o  xo xox","ox xo xox","oxoxo xox","oxoxoxxox"
1114,9,3,"draw",4.4532164929999,"         ","      x  ","    o x  ","    o xx ","    o xxo","x   o xxo","x  oo xxo","x  ooxxxo","x oooxxxo","xxoooxxxo"
1115,9,3,"x",4.435026934999996,"         "," x       "," x  o    "," x  o x  "," x oo x  "," x ooxx  ","ox ooxx  ","ox ooxx x","oxoooxx x","oxoooxxxx"
1116,9,3,"draw",4.480877366999948,"         ","       x ","    o  x ","    o  xx","    o oxx","  x o oxx","  x oooxx","  xxoooxx","o xxoooxx","oxxxoooxx"
1117,9,3,"draw",4.3355532549999225,"         ","      x  ","    o x  ","    oxx  "," o  oxx  "," o  oxxx "," o  oxxxo","xo  oxxxo","xo ooxxxo","xoxooxxxo"
1118,9,3,"draw",4.599852705999865,"         ","      x  ","    o x  ","x   o x  ","x  oo x  ","x  ooxx  ","xo ooxx  ","xo ooxxx ","xo ooxxxo","xoxooxxxo"
1119,9,3,"draw",4.760062312999935,"         "," x       "," x  o    "," x  o x  "," xo o x  "," xo o x x"," xo o xox"," xo oxxox","oxo oxxox","oxoxoxxox"
1120,9,3,"draw",4.797763851000127,"         ","    x    ","o   x    ","o   xx   ","o  oxx   ","o  oxxx  ","o ooxxx  ","oxooxxx  ","oxooxxxo ","oxooxxxox"
1121,9,3,"draw",4.6935290129999885,"         ","   x     ","   xo    ","   xo  x ","   xo  xo","x  xo  xo","x  xo oxo","x xxo oxo","xoxxo oxo","xoxxoxoxo"
1122,9,3,"draw",4.399494700000105,"         ","        x","    o   x","  x o   x","  x oo  x","  xxoo  x","  xxoo ox"," xxxoo ox","oxxxoo ox","oxxxooxox"
1123,9,3,"x",4.390720845000033,"         ","      x  ","    o x  ","    oxx  ","    oxxo "," x  oxxo "," x  oxxoo","xx  oxxoo","xxo oxxoo","xxoxoxxoo"
1124,9,3,"draw",4.355962817999853,"         ","     x   ","    ox   "," x  ox   ","ox  ox   ","ox  ox  x","oxo ox  x","oxo oxx x","oxo oxxox","oxoxoxxox"
1125,9,4,"draw",4.558918839999933,"         ","   x     ","   xo    ","x  xo    ","x  xo o  ","x xxo o  ","xoxxo o  ","xoxxo ox ","xoxxooox ","xoxxoooxx"
1126,9,4,"draw",4.458922489000088,"         ","x        ","x   o    ","x x o    ","xox o    ","xox o  x ","xox oo x ","xoxxoo x ","xoxxooox ","xoxxoooxx"
1127,9,4,"draw",4.363931981000178,"         ","     x   ","    ox   ","    ox x ","  o ox x ","  o oxxx ","  o oxxxo","x o oxxxo","x oooxxxo","xxoooxxxo"
1128,9,4,"draw",4.407771117000038,"         ","      x  ","    o x  "," x  o x  "," x oo x  "," x ooxx  "," xoooxx  "," xoooxxx "," xoooxxxo","xxoooxxxo"
1129,9,4,"draw",4.417893724000123,"         "," x       "," x  o    "," x xo    "," xoxo    "," xoxo x  ","oxoxo x  ","oxoxo x x","oxoxo xox","oxoxoxxox"
1130,9,4,"draw",4.387073188999921,"         ","     x   ","    ox   ","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox","oxo oxxox","oxoxoxxox"
1131,9,4,"draw",4.47066255499999,"         ","    x    ","  o x    ","  o x x  ","  o x x o","  o xxx o","  ooxxx o","  ooxxxxo"," oooxxxxo","xoooxxxxo"
1132,9,4,"draw",4.393567779000023,"         ","        x","    o   x","    o x x","    o xox"," x  o xox","ox  o xox","oxx o xox","oxx ooxox","oxxxooxox"
1133,9,4,"draw",4.47305329400001,"         ","    x    ","  o x    ","  o x x  ","  o x x o","  o xxx o","  ooxxx o"," xooxxx o"," xooxxxoo","xxooxxxoo"
1134,9,4,"draw",4.358988011999827,"         ","       x ","    o  x ","x   o  x ","x  oo  x ","x  oox x ","x  oox xo","xx oox xo","xxooox xo","xxoooxxxo"
1135,9,4,"draw",4.4420725940001375,"         ","    x    ","o   x    ","o   xx   ","o  oxx   ","o  oxxx  ","o ooxxx  ","oxooxxx  ","oxooxxxo ","oxooxxxox"
1136,9,4,"draw",4.418098154000063,"         "," x       "," x  o    ","xx  o    ","xxo o    ","xxo o x  ","xxooo x  ","xxoooxx  ","xxoooxxo ","xxoooxxox"
1137,9,4,"draw",4.347481129000016,"         ","     x   ","    ox   "," x  ox   "," x  ox  o","xx  ox  o","xxo ox  o","xxo oxx o","xxoooxx o","xxoooxxxo"
1138,9,4,"draw",4.373498903999916,"         ","x        ","x   o    ","x   ox   ","x   ox o ","xx  ox o ","xxo ox o ","xxo oxxo ","xxoooxxo ","xxoooxxox"
1139,9,4,"draw",4.377505436000092,"         ","   x     ","   xo    ","   xo x  ","o  xo x  ","o  xo x x","o  xo xox","ox xo xox","ox xooxox","oxxxooxox"
1140,9,5,"draw",4.44709487099999,"         ","     x   ","    ox   ","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox"," xoooxxox","xxoooxxox"
1141,9,5,"draw",4.4103518480001185,"         ","    x    ","    x   o","   xx   o","   xxo  o","  xxxo  o","  xxxoo o","  xxxooxo"," oxxxooxo","xoxxxooxo"
1142,9,5,"draw",4.412865776999979,"         ","      x  ","    o x  ","x   o x  ","x  oo x  ","x  ooxx  ","x oooxx  ","x oooxxx ","x oooxxxo","xxoooxxxo"
1143,9,5,"draw",4.5780084279999755,"         ","        x","    o   x","  x o   x","  x oo  x","  xxoo  x"," oxxoo  x"," oxxoo xx"," oxxoooxx","xoxxoooxx"
1144,9,5,"draw",4.4107155530000455,"         "," x       "," x  o    ","xx  o    ","xxo o    ","xxo o x  ","xxooo x  ","xxoooxx  ","xxoooxxo ","xxoooxxox"
1145,9,5,"draw",4.411681058000113,"         ","      x  ","    o x  "," x  o x  "," x  oox  "," x xoox  ","ox xoox  ","ox xoox x","ox xooxox","oxxxooxox"
1146,9,5,"draw",4.4206140820001565,"         ","        x","    o   x","   xo   x"," o xo   x"," o xo  xx"," o xo oxx"," oxxo oxx"," oxxoooxx","xoxxoooxx"
1147,9,5,"draw",4.418263198999966,"         ","    x    ","  o x    "," xo x    "," xo x  o "," xo x  ox","oxo x  ox","oxo x xox","oxo xoxox","oxoxxoxox"
1148,9,5,"draw",4.5385673830001,"         ","        x","    o   x","x   o   x","x   oo  x","x  xoo  x","x  xooo x","x xxooo x","xoxxooo x","xoxxoooxx"
1149,9,5,"draw",4.403892422999888,"         ","  x      ","  x o    ","  x o x  ","  x o xo "," xx o xo ","oxx o xo ","oxx o xox","oxx ooxox","oxxxooxox"
1150,9,5,"draw",4.384677602000011,"         ","x        ","x   o    ","x x o    ","xox o    ","xox o  x ","xox oo x ","xoxxoo x ","xoxxooox ","xoxxoooxx"
1151,9,5,"draw",4.424406062000116,"         ","     x   ","    ox   ","    oxx  "," o  oxx  "," o  oxxx "," o  oxxxo","xo  oxxxo","xo ooxxxo","xoxooxxxo"
1152,9,5,"draw",4.518668412000125,"         ","   x     ","   xo    ","x  xo    ","x  xo o  ","x xxo o  ","xoxxo o  ","xoxxo ox ","xoxxooox ","xoxxoooxx"
1153,9,5,"draw",4.487375175999887,"         ","   x     ","   xo    ","   xo   x"," o xo   x"," o xo  xx"," o xo oxx"," oxxo oxx"," oxxoooxx","xoxxoooxx"
1154,9,5,"draw",4.440882714999816,"         ","      x  ","    o x  ","x   o x  ","x  oo x  ","x  ooxx  ","x oooxx  ","x oooxx x","x oooxxox","xxoooxxox"
1155,9,6,"draw",4.572564691000025,"         ","x        ","x   o    ","x   ox   ","x   ox o ","xx  ox o ","xxo ox o ","xxo oxxo ","xxoooxxo ","xxoooxxox"
1156,9,6,"draw",4.57080621099999,"         ","     x   ","    ox   ","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox"," xoooxxox","xxoooxxox"
1157,9,6,"draw",4.660715483000104,"         ","    x    ","o   x    ","o   x   x","o o x   x","oxo x   x","oxo x  ox","oxo x xox","oxo xoxox","oxoxxoxox"
1158,9,6,"draw",4.569955515000174,"         ","        x","    o   x","    o x x","    o xox"," x  o xox"," xo o xox"," xo oxxox","oxo oxxox","oxoxoxxox"
1159,9,6,"draw",4.592658012000129,"         ","     x   ","    ox   ","x   ox   ","xo  ox   ","xo  ox x ","xo  oxox ","xox oxox ","xox oxoxo","xoxxoxoxo"
1160,9,6,"draw",4.590482689000055,"         ","       x ","    o  x ","    ox x ","    ox xo","x   ox xo","x   oxoxo","x x oxoxo","xox oxoxo","xoxxoxoxo"
1161,9,6,"draw",4.5330059769999025,"         ","      x  ","    o x  "," x  o x  "," x  oox  "," x xoox  ","ox xoox  ","ox xoox x","ox xooxox","oxxxooxox"
1162,9,6,"draw",4.6045552179998595,"         ","       x ","    o  x ","    o xx ","    o xxo","x   o xxo","x  oo xxo","x  ooxxxo","xo ooxxxo","xoxooxxxo"
1163,9,6,"draw",4.523591748000172,"         ","      x  ","    o x  ","    oxx  ","    oxxo "," x  oxxo ","ox  oxxo ","ox  oxxox","oxo oxxox","oxoxoxxox"
1164,9,6,"draw",4.545248608000065,"         ","      x  ","    o x  "," x  o x  "," x oo x  "," x ooxx  "," x ooxx o","xx ooxx o","xxoooxx o","xxoooxxxo"
1165,9,6,"draw",4.565518670000074,"         ","x        ","x   o    ","x   o  x ","x  oo  x ","x  oox x ","x ooox x ","x oooxxx ","x oooxxxo","xxoooxxxo"
1166,9,6,"draw",4.547488972999872,"         ","     x   ","    ox   ","    ox  x","  o ox  x","  o oxx x","  o oxxox"," xo oxxox"," xoooxxox","xxoooxxox"
1167,9,6,"draw",4.579670824999994,"         ","  x      ","  x o    ","x x o    ","xox o    ","xox o  x ","xox o  xo","xox o xxo","xoxoo xxo","xoxooxxxo"
1168,9,6,"draw",4.611491760000035,"         ","       x ","    o  x ","    o  xx","    o oxx","  x o oxx","  x oooxx","  xxoooxx"," oxxoooxx","xoxxoooxx"
1169,9,6,"draw",4.523920743999952,"         ","    x    ","    x o  ","  x x o  ","  x x o o","  x x oxo"," ox x oxo"," oxxx oxo"," oxxxooxo","xoxxxooxo"
1170,9,7,"draw",4.715860925000015,"         ","    x    ","    x   o","   xx   o","   xxo  o","  xxxo  o","  xxxoo o","  xxxooxo"," oxxxooxo","xoxxxooxo"
1171,9,7,"draw",4.775855562000061,"         ","       x ","    o  x ","  x o  x ","  x oo x ","  xxoo x ","o xxoo x ","o xxoo xx","o xxoooxx","oxxxoooxx"
